code,name
001970320,西神楽郵便局
001970330,橋本郵便局
001970340,音江郵便局
001970350,鷹泊郵便局
001970360,浦臼郵便局
001970370,旭川大町郵便局
001970390,当麻郵便局
001970400,落合郵便局
001970410,中富良野郵便局
001970420,岩見沢志文郵便局
001970430,旭川二条郵便局
001970440,東川郵便局
001970450,三笠郵便局
001970470,旭川春光六郵便局
001970480,東神楽郵便局
001970500,神威郵便局
001970510,旭川三条郵便局
001970520,多度志郵便局
001970530,金山郵便局
001970540,幾寅郵便局
001970550,上川郵便局
001970560,旭川五条郵便局
001970570,滝川本町郵便局
001970580,山部郵便局
001970590,石狩吉野郵便局
001970630,花月郵便局
001970640,幌加内郵便局
001970660,赤平郵便局
001970680,和郵便局
001970690,上志文郵便局
001970700,新十津川郵便局
001970710,野花南郵便局
001970720,江丹別郵便局
001970730,三笠岡山郵便局
001970740,美流渡郵便局
001970750,更進郵便局
001970770,茂尻郵便局
001970780,旭川北郵便局
001970790,上砂川郵便局
001970800,麓郷郵便局
001970810,豊田郵便局
001970830,東山郵便局
001970840,東滝川郵便局
001970850,東中郵便局
001970870,旭川一条西郵便局
001970880,新旭川郵便局
001970890,愛山郵便局
001970910,平岸郵便局
001970920,新城郵便局
001970930,札比内郵便局
001970940,伊香牛郵便局
001970950,旭川七条郵便局
001970960,茶志内郵便局
001970970,北鷹栖郵便局
001970980,茂世丑郵便局
001970990,朗根内郵便局
001971000,旭川神居郵便局
001971010,東川八号郵便局
001971030,旭川宮下郵便局
001971050,中愛別郵便局
001971060,美馬牛郵便局
001971070,石狩大和郵便局
001971080,南美唄郵便局
001971090,旭川旭町郵便局
001971100,晩生内郵便局
001971110,布部郵便局
001971120,朱鞠内郵便局
001971130,旭川豊岡郵便局
001971140,岩見沢三条中郵便局
001971160,石狩追分郵便局
001971170,北野郵便局
001971180,層雲峡郵便局
001971190,唐松郵便局
001971210,上芦別郵便局
001971220,旭川神居三条郵便局
001971230,旭川九条郵便局
001971240,三笠弥生郵便局
001971270,旭川神楽郵便局
001971280,千代ヶ岡郵便局
001971290,旭正郵便局
001971300,上幌向郵便局
001971310,碧水郵便局
001971360,美唄東一条北郵便局
001971400,宇園別郵便局
001971410,旭川近文郵便局
001971420,常磐郵便局
001971460,永山西郵便局
001971480,上砂川炭山郵便局
001971510,一已郵便局
001971530,赤平西郵便局
001971540,西芦別郵便局
001971580,豊沼郵便局
001971590,東明郵便局
001971610,滝川黄金郵便局
001971640,滝川駅前郵便局
001971660,赤平東郵便局
001971670,赤平泉町郵便局
001971680,文珠郵便局
001971690,東川北郵便局
001971700,岩見沢美園郵便局
001971720,東鷹栖十線郵便局
001971730,鶴沼郵便局
001971740,旭山動物園前郵便局
001971770,頼城郵便局
001971780,上砂川鶉郵便局
001971810,旭川四条西郵便局
001971820,岩見沢三条郵便局
001971840,旭川南六条通郵便局
001971850,旭川住吉郵便局
001971880,砂川南郵便局
001971890,旭川金星橋郵便局
001971900,旭川春光郵便局
001971910,芦別宮元郵便局
001971920,岩見沢元町郵便局
001971930,旭川神楽岡郵便局
001971940,滝川幸町郵便局
001971950,旭川東光郵便局
001971960,旭川新富郵便局
001971970,旭川豊岡東郵便局
001971980,永山南郵便局
001971990,富良野若葉郵便局
001972000,旭川川端郵便局
001972010,岩見沢日の出郵便局
001972020,旭川北門郵便局
001972030,旭川東光四条郵便局
001972040,旭川緑が丘郵便局
001972050,旭川忠和郵便局
001972060,旭川東郵便局
001972070,旭川末広郵便局
001972080,旭川春光台郵便局
001972090,旭川豊岡四条郵便局
001972100,滝川有明郵便局
001972140,岩見沢六条郵便局
